index,exchange,symbol,conversion type(1× 2÷ 0 noConversion),conversionIndex,weight,tier value,priceMultiple,emaLagMs,uniqueExchangeAlias,chainId,tokenAddress,poolAddress,baseTokenAddress,quoteTokenAddress,subscribeName,sharesMultiplierSource,sharesMultiplierToken,sharesMultiplierBenchmark,conversionCheck
BANANA-USD,Binance,BANANA/USDT,1,USDT-USD,0.333,4,1,0,,,,,,,,,,,TRUE
BANANA-USD,Gate,BANANA/USDT,1,USDT-USD,0.167,2,1,0,,,,,,,,,,,TRUE
BANANA-USDT,OKX,BANANA/USDT,0,,0.333,4,1,0,,,,,,,,,,,TRUE
BANANA-USDT,Binance,BANANA/USDT,0,,0.333,4,1,0,,,,,,,,,,,TRUE
BANANA-USDT,Gate,BANANA/USDT,0,,0.167,2,1,0,,,,,,,,,,,TRUE
BANANA-USDT,Kucoin,BANANA/USDT,0,,0.167,2,1,0,,,,,,,,,,,TRUE
BAND-EUR,Gate,BAND/USDT,1,USDT-EUR,0.2,2,1,0,,,,,,,,,,,TRUE
BAND-EUR,OKX,BAND/USDT,1,USDT-EUR,0.4,4,1,0,,,,,,,,,,,TRUE
BAND-EUR,Binance,BAND/USDT,1,USDT-EUR,0.4,4,1,0,,,,,,,,,,,TRUE
BAND-USD,Binance,BAND/USDT,1,USDT-USD,0.4,4,1,0,,,,,,,,,,,TRUE
BAND-USD,Gate,BAND/USDT,1,USDT-USD,0.2,2,1,0,,,,,,,,,,,TRUE
BAND-USD,OKX,BAND/USDT,1,USDT-USD,0.4,4,1,0,,,,,,,,,,,TRUE
BAND-USDC,OKX,BAND/USDT,2,USDC-USDT,0.4,4,1,0,,,,,,,,,,,TRUE
BAND-USDC,Binance,BAND/USDT,2,USDC-USDT,0.4,4,1,0,,,,,,,,,,,TRUE
BAND-USDC,Gate,BAND/USDT,2,USDC-USDT,0.2,2,1,0,,,,,,,,,,,TRUE
BAND-USDT,Gate,BAND/USDT,0,,0.2,2,1,0,,,,,,,,,,,TRUE
BAND-USDT,OKX,BAND/USDT,0,,0.4,4,1,0,,,,,,,,,,,TRUE
BAND-USDT,Binance,BAND/USDT,0,,0.4,4,1,0,,,,,,,,,,,TRUE
BARD-USDT,Bitget,BARD/USDT,0,,0.154,2,1,0,,,,,,,,,,,TRUE
BARD-USDT,Bybit,BARD/USDT,0,,0.231,3,1,0,,,,,,,,,,,TRUE
BARD-USDT,Binance,BARD/USDT,0,,0.308,4,1,0,,,,,,,,,,,TRUE
BARD-USDT,OKX,BARD/USDT,0,,0.308,4,1,0,,,,,,,,,,,TRUE
BAT-USD,OKX,BAT/USDT,1,USDT-USD,0.308,4,1,0,,,,,,,,,,,TRUE
BAT-USD,Coinbase,BAT/USD,0,,0.231,3,1,0,,,,,,,,,,,TRUE
BAT-USD,Binance,BAT/USDT,1,USDT-USD,0.308,4,1,0,,,,,,,,,,,TRUE
BAT-USD,Gate,BAT/USDT,1,USDT-USD,0.154,2,1,0,,,,,,,,,,,TRUE
BCH-EUR,Bybit,BCH/USDT,1,USDT-EUR,1.0,3,1,0,,,,,,,,,,,TRUE
