index,assetsType,component_count,ema_avg_deviation,ema_max_deviation,issues
BCH-EUR,Topcoins,1,0.1750,0.1750,TC: ema_avg_deviation 0.18% ≥ 0.15%; TC: only 1 components (need ≥5)
BCH-USDC,Topcoins,4,0.1571,0.1825,TC: ema_avg_deviation 0.16% ≥ 0.15%; TC: only 4 components (need ≥5)
BEAT-USDT,Altcoins,4,1.6546,1.8700,AL-5: ema_avg_deviation 1.65% > 0.5%; AL-5: ema_max_deviation 1.87% > 1.5%; AL-5: ema_avg_update_lag 1687s > 300s
BERA-EUR,Altcoins,4,0.2684,0.3518,AL-5: ema_avg_update_lag 1743s > 300s
BERA-TRY,Altcoins,4,0.2682,0.3627,AL-5: ema_avg_update_lag 1688s > 300s
BERA-USD,Altcoins,4,0.2468,0.3115,AL-5: ema_avg_update_lag 1172s > 300s
BERA-USDC,Altcoins,4,0.2624,0.3522,AL-5: ema_avg_update_lag 1697s > 300s
BERA-USDT,Altcoins,4,0.3204,0.4145,AL-5: ema_avg_update_lag 1623s > 300s
BETH-ETH,Topcoins,4,0.0086,0.0163,TC: only 4 components (need ≥5)
BETH-USDT,Topcoins,5,0.1550,0.1650,TC: ema_avg_deviation 0.15% ≥ 0.15%
BICO-EUR,Altcoins,4,0.2777,0.4509,AL-5: ema_avg_update_lag 1846s > 300s
BICO-USD,Altcoins,4,0.2859,0.4614,AL-5: ema_avg_update_lag 1241s > 300s
BICO-USDC,Altcoins,4,0.3673,0.5254,AL-5: ema_avg_update_lag 1823s > 300s
BICO-USDT,Altcoins,4,0.3634,0.5439,AL-5: ema_avg_update_lag 1428s > 300s
BIGTIME-EUR,Altcoins,1,0.1723,0.1723,AL-1: OKX available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1331s > 300s
BIGTIME-USD,Altcoins,4,0.1504,0.2427,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 1317s > 300s
BIGTIME-USDC,Altcoins,4,0.1725,0.2523,AL-5: ema_avg_update_lag 1843s > 300s
BIGTIME-USDT,Altcoins,4,0.1811,0.2614,AL-5: ema_avg_update_lag 1864s > 300s
BIO-EUR,Altcoins,4,0.2089,0.3258,AL-5: ema_avg_update_lag 1824s > 300s
BIO-TRY,Altcoins,4,0.2046,0.3218,AL-5: ema_avg_update_lag 1806s > 300s
BIO-USD,Altcoins,3,0.1908,0.2967,AL-1: OKX available but not in components; AL-5: ema_avg_update_lag 1230s > 300s
BIO-USDC,Altcoins,4,0.2395,0.3617,AL-5: ema_avg_update_lag 1762s > 300s
BIO-USDT,Altcoins,4,0.2434,0.3652,AL-5: ema_avg_update_lag 1966s > 300s
BLUR-EUR,Altcoins,5,0.2195,0.4221,AL-5: ema_avg_update_lag 1804s > 300s
BLUR-USD,Altcoins,5,0.1997,0.3772,AL-5: ema_avg_update_lag 1923s > 300s
BLUR-USDC,Altcoins,5,0.1945,0.3633,AL-5: ema_avg_update_lag 1800s > 300s
BLUR-USDT,Altcoins,5,0.2093,0.4158,AL-5: ema_avg_update_lag 1743s > 300s
BNB-EUR,Altcoins,4,0.0853,0.1312,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1645s > 300s
BNB-USD,Altcoins,5,0.0732,0.0920,AL-5: ema_avg_update_lag 1705s > 300s
BNB-USDC,Altcoins,4,0.1004,0.1204,AL-5: ema_avg_update_lag 1679s > 300s
BNB-USDT,Altcoins,5,0.1123,0.1368,AL-5: ema_avg_update_lag 1736s > 300s
BNT-EUR,Altcoins,2,0.1620,0.1693,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1155s > 300s
BNT-USD,Altcoins,4,0.2550,0.4173,AL-5: ema_avg_update_lag 1324s > 300s
BNT-USDC,Altcoins,4,0.2112,0.3592,AL-5: ema_avg_update_lag 1913s > 300s
BNT-USDT,Altcoins,4,0.2165,0.3559,AL-5: ema_avg_update_lag 1867s > 300s
BOME-EUR,Altcoins,4,0.1986,0.3057,AL-5: ema_avg_update_lag 1684s > 300s
BOME-USD,Altcoins,4,0.2806,0.3962,AL-5: ema_avg_update_lag 1317s > 300s
BOME-USDC,Altcoins,4,0.1856,0.2715,AL-5: ema_avg_update_lag 1680s > 300s
BOME-USDT,Altcoins,4,0.2193,0.3212,AL-5: ema_avg_update_lag 1563s > 300s
BONK-EUR,Altcoins,1,0.1755,0.1755,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1617s > 300s
BONK-TRY,Altcoins,3,0.1500,0.2064,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1371s > 300s
BONK-USD,Altcoins,4,0.1859,0.2405,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1305s > 300s
BONK-USDC,Altcoins,5,0.1692,0.2276,AL-5: ema_avg_update_lag 1626s > 300s
BONK-USDT,Altcoins,5,0.1806,0.2423,AL-5: ema_avg_update_lag 1507s > 300s
BRETT-USDT,Altcoins,4,0.2582,0.3404,AL-5: ema_avg_update_lag 995s > 300s
BREV-EUR,Altcoins,3,0.1642,0.2403,AL-5: ema_avg_update_lag 1277s > 300s
BREV-TRY,Altcoins,3,0.1701,0.2114,AL-5: ema_avg_update_lag 1349s > 300s
BREV-USD,Altcoins,3,0.1679,0.2233,AL-5: ema_avg_update_lag 1062s > 300s
BREV-USDC,Altcoins,3,0.1700,0.2130,AL-5: ema_avg_update_lag 1770s > 300s
BREV-USDT,Altcoins,3,0.2438,0.2943,AL-5: ema_avg_update_lag 1520s > 300s
BRL1-BRL,Altcoins,2,0.0722,0.0766,AL-4: only 2 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 4018s > 300s
BRL1-USDT,Altcoins,1,0.0459,0.0557,AL-1: OKX available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 4039s > 300s
BTC-TRY,Topcoins,3,0.1209,0.1651,TC: only 3 components (need ≥5)
BTC-USD,Topcoins,4,0.1175,0.1320,TC: only 4 components (need ≥5)
BTC-USDC,Topcoins,5,0.1833,0.2205,TC: ema_avg_deviation 0.18% ≥ 0.15%
BTC-USDT,Topcoins,5,0.1567,0.1640,TC: ema_avg_deviation 0.16% ≥ 0.15%
BZ-USDT,TradFi,3,0.2116,0.2782,TF-1: dxFeed available but not in components
CAT-EUR,Altcoins,3,0.1552,0.2756,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-1: Bybit available but not in components
CAT-USD,Altcoins,4,0.1948,0.3341,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1327s > 300s
CAT-USDC,Altcoins,4,0.1775,0.3328,AL-1: Binance available but not in components; AL-1: Bybit available but not in components
CAT-USDT,Altcoins,4,0.2424,0.4133,AL-1: Binance available but not in components; AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1845s > 300s
CATI-USD,Altcoins,4,0.2654,0.3436,AL-5: ema_avg_update_lag 1296s > 300s
CATI-USDT,Altcoins,4,0.2190,0.3073,AL-5: ema_avg_update_lag 1852s > 300s
CC-TRY,Altcoins,3,0.2353,0.2942,AL-1: OKX available but not in components; AL-5: ema_avg_update_lag 1646s > 300s
CC-USD,Altcoins,5,0.2292,0.3099,AL-5: ema_avg_update_lag 1595s > 300s
CC-USDT,Altcoins,5,0.2555,0.3453,AL-5: ema_avg_update_lag 1675s > 300s
CELO-EUR,Altcoins,1,0.2206,0.2206,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_update_lag 1654s > 300s
CELO-USD,Altcoins,3,0.2448,0.3567,AL-1: Bybit available but not in components; AL-5: ema_avg_update_lag 1593s > 300s
CELO-USDC,Altcoins,4,0.3098,0.4525,AL-5: ema_avg_update_lag 1822s > 300s
CELO-USDT,Altcoins,4,0.2953,0.4188,AL-5: ema_avg_update_lag 1384s > 300s
CELR-EUR,Altcoins,1,0.5339,0.5339,AL-1: OKX available but not in components; AL-1: Binance available but not in components; AL-4: only 1 distinct exchanges (need ≥3); AL-5: ema_avg_deviation 0.53% > 0.5%; AL-5: ema_avg_update_lag 1573s > 300s
CELR-USD,Altcoins,3,0.5399,0.7301,AL-5: ema_avg_deviation 0.54% > 0.5%; AL-5: ema_avg_update_lag 1265s > 300s
CELR-USDC,Altcoins,4,0.6826,0.9357,AL-5: ema_avg_deviation 0.68% > 0.5%; AL-5: ema_avg_update_lag 1782s > 300s
CELR-USDT,Altcoins,4,0.6848,0.8821,AL-5: ema_avg_deviation 0.68% > 0.5%; AL-5: ema_avg_update_lag 1820s > 300s
CETUS-USD,Altcoins,3,0.3418,0.4947,AL-1: Binance available but not in components; AL-5: ema_avg_update_lag 1191s > 300s
CETUS-USDT,Altcoins,4,0.4043,0.4980,AL-5: ema_avg_update_lag 1676s > 300s
